Product Item,Used Across Occasions,Used Across Events
Couple Photo,Anniversary Hampers,Romantic
Couple Photo Frame,Anniversary Hampers,Couple
Couple Sippers,Anniversary Hampers,Romantic
Couple T-Shirts,Anniversary Hampers,Couple
Couple Wine Glasses,Anniversary Hampers,Premium
Couple's Thank You Card,Wedding Hampers,Wedding Welcome Hampers
Crayons,Birthday Hampers,Kids
Cufflinks,Wedding Hampers,"Grooms Personal Hamper, Groomsmen Hampers"
Cupcakes,"Anniversary Hampers, Birthday Hampers","Celebration Add-ons, General, Kids"
Dandiya Accessories,Festivals,Navratri
Dates,Festivals,Navratri
Decorative Candle,Festivals,Diwali
Decorative Dandiya,Festivals,Navratri
Decorative Diya,Wedding Hampers,Wedding Favours
Decorative Jar,Festivals,Diwali
Decorative Keepsake,Anniversary Hampers,Romantic
Decorative Toran,Festivals,Diwali
Desk Calendar,Corporate Gifting,Client Oriented
Desk Organizer,Corporate Gifting,"Client Oriented, Employee Oriented"
Desk Plant,Corporate Gifting,Employee Oriented
Diwali Namkeen,Festivals,Diwali
Diya Set,Festivals,Diwali
Doll,Birthday Hampers,Kids
Dry Fruit Box,Wedding Hampers,Wedding Favours
Dry Fruits,"Baby Shower Hampers, Birthday Hampers, Corporate Gifting, Festivals, Wedding Hampers","Brides Personal Hamper, Client Oriented, Diwali, Employee Oriented, General, Grooms Personal Hamper, Groomsmen Hampers, Holi, Mom-to-Be, Navratri, Uttarayan, Wedding Welcome Hampers"
Dupatta,Festivals,Navratri
Ear Plugs,Wedding Hampers,Wedding Welcome Hampers
Earrings,"Birthday Hampers, Wedding Hampers","Brides Personal Hamper, Bridesmaid Hampers, Female, Haldi, Mehendi"
Energy Bars,"Corporate Gifting, Festivals, Wedding Hampers","Employee Oriented, Navratri, Wedding Welcome Hampers"
Event Schedule,Wedding Hampers,Wedding Welcome Hampers
Executive Pen,Corporate Gifting,Client Oriented
Face Mask,"Baby Shower Hampers, Birthday Hampers, Wedding Hampers","Brides Personal Hamper, Bridesmaid Hampers, General, Haldi, Mehendi, Mom-to-Be"
Face Serum,Wedding Hampers,Brides Personal Hamper
Face Sheet Mask,Festivals,Holi
Face Towel,Wedding Hampers,Wedding Welcome Hampers
Face Wash,Wedding Hampers,"Grooms Personal Hamper, Groomsmen Hampers"
Fafda,Festivals,Uttarayan
Fairy Lights,Anniversary Hampers,Celebration Add-ons
Fasting Snacks,Festivals,Navratri
Flask,"Birthday Hampers, Wedding Hampers","Cocktail/Sangeet, Grooms Personal Hamper, Groomsmen Hampers, Male"
Flavoured Water,Festivals,Navratri
Floral Hair Accessories,Wedding Hampers,Haldi
Floral Jewellery,Wedding Hampers,"Bridesmaid Hampers, Haldi, Mehendi"
Fragrance,Festivals,Navratri
Fridge Magnet,Wedding Hampers,Wedding Favours
Gourmet Snacks,Birthday Hampers,General
Granola,Baby Shower Hampers,Mom-to-Be
Granola Bar,Wedding Hampers,Wedding Welcome Hampers
Greeting Card,"Anniversary Hampers, Baby Shower Hampers, Birthday Hampers, Festivals","Diwali, General, Mom-to-Be, Navratri, Romantic"
Groom Card,Wedding Hampers,Grooms Personal Hamper
Groom-to-be Badge,Wedding Hampers,Grooms Personal Hamper
Groom-to-be Sash,Wedding Hampers,Grooms Personal Hamper
Grooming Kit,Birthday Hampers,Male
Grooming Pouch,Wedding Hampers,Grooms Personal Hamper
Gujiya,Festivals,Holi
Hair Accessories,"Birthday Hampers, Wedding Hampers","Brides Personal Hamper, Female, Haldi, Mehendi"
Hair Band,Wedding Hampers,Bridesmaid Hampers
Hair Brush,Wedding Hampers,Brides Personal Hamper
Hair Pins,Wedding Hampers,"Brides Personal Hamper, Bridesmaid Hampers, Mehendi"
Hair Wax,"Birthday Hampers, Wedding Hampers","Grooms Personal Hamper, Groomsmen Hampers, Male"
Haldi-themed Jewellery,Wedding Hampers,Haldi
Hand Cream,"Baby Shower Hampers, Birthday Hampers, Wedding Hampers","Bridesmaid Hampers, Female, General, Haldi, Mehendi, Mom + Baby, Mom-to-Be"
Hand Sanitizer,Wedding Hampers,Wedding Welcome Hampers
Hand Towel,"Festivals, Wedding Hampers","Uttarayan, Wedding Welcome Hampers"
Handkerchief,Wedding Hampers,Groomsmen Hampers
Handprint/Footprint Kit,Baby Shower Hampers,Baby
Healthy Snack Box,Baby Shower Hampers,Mom-to-Be
Healthy Snacks,Baby Shower Hampers,Mom + Baby
Herbal Gulal,Festivals,Holi
Herbal Tea,"Baby Shower Hampers, Festivals","Mom + Baby, Mom-to-Be, Navratri"
Holi Greeting Card,Festivals,Holi
Honey,Baby Shower Hampers,Mom-to-Be
Honey Jar,Wedding Hampers,Wedding Favours
Hot Chocolate,"Birthday Hampers, Corporate Gifting, Festivals","Christmas, Employee Oriented, General"
Incense Sticks,Festivals,Diwali
Insulated Bottle,Baby Shower Hampers,Mom-to-Be
Insulated Tumbler,Corporate Gifting,Client Oriented
Jalebi,Festivals,Uttarayan
Jam Jar,Wedding Hampers,Wedding Favours
Jewellery,"Anniversary Hampers, Wedding Hampers","Brides Personal Hamper, Premium"
Jewellery Box,Wedding Hampers,"Brides Personal Hamper, Bridesmaid Hampers"
Journal,Baby Shower Hampers,"Mom + Baby, Mom-to-Be"
Kaju Katli,Festivals,Diwali
Keychain,"Birthday Hampers, Corporate Gifting, Wedding Hampers","Cocktail/Sangeet, Employee Oriented, Groomsmen Hampers, Male, Wedding Favours"
Kids Mug,Birthday Hampers,Kids
Kite Set,Festivals,Uttarayan
Kite Spool,Festivals,Uttarayan
Kite String Alternative,Festivals,Uttarayan
LED Photo Frame,Anniversary Hampers,Celebration Add-ons
Lakshmi-Ganesh Idol,Festivals,Diwali
Laptop Sleeve,Corporate Gifting,"Client Oriented, Employee Oriented"
Laptop Stand,Corporate Gifting,Client Oriented
Leather Wallet,Anniversary Hampers,Premium
Leather/PU Pouch,Wedding Hampers,"Grooms Personal Hamper, Groomsmen Hampers"
Leather/PU Wallet,Corporate Gifting,Client Oriented
Lip Balm,"Baby Shower Hampers, Birthday Hampers, Festivals, Wedding Hampers","Brides Personal Hamper, Bridesmaid Hampers, Female, General, Haldi, Holi, Mehendi, Mom + Baby, Mom-to-Be, Wedding Welcome Hampers"
Lip Gloss,"Birthday Hampers, Wedding Hampers","Brides Personal Hamper, Bridesmaid Hampers, Female"
Lipstick,Wedding Hampers,Brides Personal Hamper
Local Specialty Product,Wedding Hampers,Wedding Welcome Hampers
Love Coupons,Anniversary Hampers,Romantic
Love Letter,Wedding Hampers,Brides Personal Hamper
Luggage Tag,Wedding Hampers,Grooms Personal Hamper
Luxury Candle,Anniversary Hampers,Premium
Macarons,Wedding Hampers,Brides Personal Hamper
Makeup Kit,Wedding Hampers,Brides Personal Hamper
Makeup Pouch,"Birthday Hampers, Wedding Hampers","Brides Personal Hamper, Bridesmaid Hampers, Female"
Marshmallows,Festivals,Christmas
Matching Keychains,Anniversary Hampers,Couple
Matching Mugs,Anniversary Hampers,Couple
Matching Sippers,Anniversary Hampers,Couple
Mehendi Aftercare Balm,Wedding Hampers,Mehendi
Mehendi Cones,Wedding Hampers,Mehendi
Metal Keychain,Corporate Gifting,Client Oriented
Milestone Cards,Baby Shower Hampers,"Baby, Mom + Baby"
Mini Board Game,Birthday Hampers,Kids
Mini Candle,Wedding Hampers,"Bridesmaid Hampers, Grooms Personal Hamper, Wedding Favours, Wedding Welcome Hampers"
Mini Christmas Decoration,Festivals,Christmas
Mini Mug,Wedding Hampers,Wedding Favours
Mini Perfume,"Anniversary Hampers, Birthday Hampers, Wedding Hampers","Bridesmaid Hampers, Cocktail/Sangeet, Female, General, Groomsmen Hampers, Haldi, Male, Mehendi, Romantic, Wedding Favours, Wedding Welcome Hampers"
Mini Pillow,Wedding Hampers,Wedding Welcome Hampers
Mini Plant,"Corporate Gifting, Festivals, Wedding Hampers","Christmas, Client Oriented, Diwali, Navratri, Wedding Favours"
Mini Snack Box,Wedding Hampers,Wedding Favours
Mini Towel,"Festivals, Wedding Hampers","Haldi, Holi"
Mints,Wedding Hampers,Wedding Welcome Hampers
Mithai Box,Wedding Hampers,Wedding Favours
Moisturizer,Wedding Hampers,"Brides Personal Hamper, Grooms Personal Hamper"
Mom-to-Be Badge,Baby Shower Hampers,Mom-to-Be
Mom-to-Be Card,Baby Shower Hampers,Mom + Baby
Mom-to-Be Sash,Baby Shower Hampers,Mom-to-Be
Mug,Birthday Hampers,General
